,n_clusters,silhouette
223,225,0.04152934219188274
224,226,0.03439057182109722
225,227,0.03474033958316626
226,228,0.03594066613090186
227,229,0.03498479804778274
228,230,0.03080947862580622
229,231,0.028333147566912686
230,232,0.026283005806928945
231,233,0.022538573465954823
232,234,0.018779657176845224
233,235,0.016597490324598736
234,236,0.014113440320344627
235,237,0.012864372375455534
236,238,0.00851303535825499
237,239,0.004289915688110582
