,n_clusters,SSE
229,230,2685769.0349839134
230,231,2299595.018176393
231,232,1957168.6326103327
232,233,1608669.670312503
233,234,1463632.1565452402
234,235,1211906.311777751
235,236,828757.4114669065
236,237,595459.4141055102
237,238,392253.1522329165
238,239,194086.62241581277
